Grafico_Configuracao_do_robo
Time (Seconds),X (Meters),Y (Meters)
110.300003,0.697751,0.934835
110.350006,0.694498,0.940999
110.400002,0.690653,0.947360
110.450005,0.686568,0.953812
110.500000,0.682613,0.959985
110.550003,0.678753,0.966025
110.600006,0.674560,0.972346
110.650002,0.670123,0.978395
110.700005,0.665929,0.984225
110.750000,0.661449,0.990127
110.800003,0.657290,0.995479
110.850006,0.653005,1.000771
110.900002,0.648305,1.006236
110.950005,0.643656,1.011565
111.000000,0.638987,1.016803
111.050003,0.634257,1.022050
111.100006,0.629327,1.027441
111.150002,0.624459,1.032548
111.200005,0.619628,1.037577
111.250000,0.614656,1.042545
111.300003,0.609342,1.047594
111.350006,0.604187,1.052466
111.400002,0.599015,1.057285
111.450005,0.593747,1.062042
111.500000,0.588562,1.066715
111.550003,0.583011,1.071532
111.600006,0.577541,1.076154
111.650002,0.571800,1.080727
111.700005,0.566267,1.085122
111.750000,0.560775,1.089371
111.800003,0.555127,1.093559
111.850006,0.549447,1.097641
111.900002,0.543453,1.101721
111.950005,0.537583,1.105764
112.000000,0.531566,1.109778
112.050003,0.525650,1.113630
112.100006,0.519457,1.117390
112.150002,0.513507,1.120980
112.200005,0.507863,1.124496
112.250000,0.501994,1.127903
112.300003,0.496237,1.131249
112.350006,0.490421,1.134572
112.400002,0.484751,1.137816
112.450005,0.478817,1.141032
112.500000,0.472921,1.144162
112.550003,0.466953,1.147255
112.600006,0.460872,1.150322
112.650002,0.454749,1.153324
112.700005,0.448699,1.156242
112.750000,0.442657,1.159071
112.800003,0.436542,1.161884
112.850006,0.430204,1.164623
112.900002,0.424104,1.167275
112.950005,0.418158,1.169875
113.000000,0.411988,1.172416
113.050003,0.405887,1.174875
113.100006,0.399777,1.177284
113.150002,0.393573,1.179653
113.200005,0.387254,1.181941
113.250000,0.380978,1.184166
113.300003,0.374729,1.186341
113.350006,0.368540,1.188485
113.400002,0.362228,1.190561
113.450005,0.355839,1.192580
113.500000,0.349603,1.194559
113.550003,0.343171,1.196463
113.600006,0.336684,1.198230
113.650002,0.330169,1.199990
113.700005,0.323653,1.201675
113.750000,0.317138,1.203319
113.800003,0.310907,1.204979
113.850006,0.304354,1.206495
113.900002,0.297745,1.207968
113.950005,0.291416,1.209453
114.000000,0.284906,1.210807
114.050003,0.278625,1.212156
114.100006,0.272319,1.213466
114.150002,0.265960,1.214694
114.200005,0.259607,1.215890
114.250000,0.253419,1.217084
