Grafico_Espaco_de_trabalho
Time (Seconds),X (Meters),Y (Meters),Z (Meters)
93.800003,-0.401080,0.794457,0.099884
93.850006,-0.403356,0.787825,0.099889
93.900002,-0.405654,0.780973,0.099894
93.950005,-0.407759,0.773958,0.099893
94.000000,-0.409736,0.767196,0.099881
94.050003,-0.411683,0.760272,0.099893
94.100006,-0.413528,0.753224,0.099890
94.150002,-0.415357,0.746197,0.099897
94.200005,-0.416791,0.738951,0.099886
94.250000,-0.418229,0.731645,0.099880
94.300003,-0.419534,0.724631,0.099903
94.350006,-0.420801,0.717648,0.099897
94.400002,-0.421946,0.710617,0.099886
94.450005,-0.423056,0.703707,0.099877
94.500000,-0.424009,0.696541,0.099901
94.550003,-0.424907,0.689747,0.099886
94.600006,-0.425632,0.682571,0.099881
94.650002,-0.426335,0.675457,0.099889
94.700005,-0.426957,0.668535,0.099872
94.750000,-0.427449,0.661362,0.099905
94.800003,-0.427784,0.654323,0.099901
94.850006,-0.428001,0.647221,0.099886
94.900002,-0.428301,0.639884,0.099892
94.950005,-0.428544,0.632371,0.099899
95.000000,-0.428782,0.625240,0.099894
95.050003,-0.428964,0.618192,0.099906
95.100006,-0.428872,0.610681,0.099893
95.150002,-0.428952,0.603661,0.099884
95.200005,-0.428745,0.596216,0.099889
95.250000,-0.428599,0.589085,0.099897
95.300003,-0.428211,0.581609,0.099900
95.350006,-0.427839,0.574443,0.099899
95.400002,-0.427258,0.567021,0.099897
95.450005,-0.426581,0.559780,0.099894
95.500000,-0.425799,0.552505,0.099886
95.550003,-0.424900,0.545244,0.099868
95.600006,-0.424281,0.538419,0.099888
95.650002,-0.423197,0.530949,0.099901
95.700005,-0.422118,0.523809,0.099891
95.750000,-0.421041,0.516721,0.099898
95.800003,-0.419719,0.509503,0.099901
95.850006,-0.418427,0.502364,0.099904
95.900002,-0.417012,0.495354,0.099891
95.950005,-0.415568,0.488287,0.099906
96.000000,-0.413756,0.480950,0.099891
96.050003,-0.411940,0.473734,0.099887
96.100006,-0.410033,0.466581,0.099886
96.150002,-0.408101,0.459579,0.099876
96.200005,-0.406393,0.452858,0.099896
96.250000,-0.404088,0.445580,0.099904
96.300003,-0.401756,0.438411,0.099897
96.350006,-0.399556,0.431654,0.099881
96.400002,-0.397366,0.425030,0.099892
96.450005,-0.394798,0.418080,0.099892
96.500000,-0.392266,0.411267,0.099894
96.550003,-0.389540,0.404483,0.099893
96.600006,-0.386779,0.397699,0.099898
96.650002,-0.383924,0.390980,0.099892
96.700005,-0.381125,0.384383,0.099909
96.750000,-0.377879,0.377596,0.099885
96.800003,-0.374763,0.371021,0.099903
96.850006,-0.371660,0.364561,0.099891
96.900002,-0.368646,0.358306,0.099896
96.950005,-0.365171,0.351712,0.099894
97.000000,-0.361485,0.345198,0.099886
97.050003,-0.358197,0.339111,0.099893
97.100006,-0.354770,0.332935,0.099898
97.150002,-0.350744,0.326452,0.099910
97.200005,-0.347000,0.320439,0.099904
97.250000,-0.343185,0.314366,0.099901
97.300003,-0.339488,0.308424,0.099884
97.350006,-0.335423,0.302456,0.099876
97.400002,-0.331476,0.296645,0.099879
97.450005,-0.327403,0.290765,0.099882
97.500000,-0.323112,0.284968,0.099869
97.550003,-0.319406,0.279513,0.099887
97.600006,-0.315430,0.273948,0.099889
97.650002,-0.311119,0.268228,0.099891
97.700005,-0.306553,0.262463,0.099887
97.750000,-0.301944,0.256748,0.099886
97.800003,-0.297309,0.251083,0.099888
97.850006,-0.292967,0.245704,0.099887
97.900002,-0.288427,0.240578,0.099881
97.950005,-0.283774,0.235336,0.099894
98.000000,-0.278715,0.229821,0.099895
98.050003,-0.273957,0.224557,0.099904
98.100006,-0.268862,0.219187,0.099892
98.150002,-0.263643,0.213892,0.099887
98.200005,-0.258333,0.208640,0.099882
98.250000,-0.253020,0.203451,0.099891
98.300003,-0.247957,0.198499,0.099876
98.350006,-0.242697,0.193435,0.099895
98.400002,-0.237111,0.188440,0.099889
98.450005,-0.231453,0.183392,0.099890
98.500000,-0.225900,0.178498,0.099886
98.550003,-0.220323,0.173725,0.099869
98.600006,-0.214314,0.168999,0.099897
98.650002,-0.209132,0.164780,0.099881
98.700005,-0.203786,0.160695,0.099892
98.750000,-0.197965,0.156458,0.099893
98.800003,-0.192036,0.152337,0.099894
98.850006,-0.186057,0.148364,0.099890
98.900002,-0.180181,0.144468,0.099890
98.950005,-0.174271,0.140659,0.099880
99.000000,-0.168100,0.136910,0.099898
99.050003,-0.162078,0.133385,0.099886
99.100006,-0.155859,0.129744,0.099896
99.150002,-0.150305,0.126375,0.099885
99.200005,-0.144423,0.123022,0.099883
99.250000,-0.138570,0.119847,0.099881
99.300003,-0.132342,0.116626,0.099890
99.350006,-0.126072,0.113431,0.099901
99.400002,-0.119696,0.110315,0.099894
99.450005,-0.113595,0.107318,0.099892
99.500000,-0.107567,0.104406,0.099878
99.550003,-0.101373,0.101579,0.099894
99.600006,-0.095079,0.098809,0.099885
99.650002,-0.088968,0.096109,0.099890
99.700005,-0.082841,0.093503,0.099892
99.750000,-0.076632,0.090952,0.099887
99.800003,-0.070481,0.088445,0.099893
99.850006,-0.064249,0.086052,0.099894
99.900002,-0.057926,0.083719,0.099890
99.950005,-0.051677,0.081475,0.099887
100.000000,-0.045238,0.079276,0.099880
100.050003,-0.038915,0.077182,0.099892
100.100006,-0.032589,0.075142,0.099884
100.150002,-0.025852,0.073143,0.099901
100.200005,-0.019385,0.071165,0.099898
100.250000,-0.013061,0.069285,0.099884
100.300003,-0.006604,0.067558,0.099886
100.350006,-0.000116,0.065903,0.099883
100.400002,0.006494,0.064288,0.099895
100.450005,0.013296,0.062750,0.099880
100.500000,0.019848,0.061344,0.099881
100.550003,0.026898,0.060022,0.099901
100.600006,0.034164,0.058767,0.099882
100.650002,0.040828,0.057579,0.099886
100.700005,0.047761,0.056358,0.099895
100.750000,0.054894,0.055293,0.099886
100.800003,0.060862,0.054149,0.099882
100.850006,0.067416,0.053184,0.099909
100.900002,0.074050,0.052325,0.099877
100.950005,0.080303,0.051451,0.099891
101.000000,0.087449,0.050754,0.099887
101.050003,0.094759,0.050118,0.099888
101.100006,0.101518,0.049486,0.099882
101.150002,0.108138,0.048912,0.099885
101.200005,0.114733,0.048427,0.099881
101.250000,0.121309,0.047919,0.099884
101.300003,0.128025,0.047562,0.099881
101.350006,0.134626,0.047192,0.099884
101.400002,0.141314,0.046950,0.099873
101.450005,0.148102,0.046770,0.099882
101.500000,0.154727,0.046614,0.099885
101.550003,0.161260,0.046458,0.099884
101.600006,0.167838,0.046366,0.099882
101.650002,0.174298,0.046293,0.099881
101.700005,0.180932,0.046386,0.099873
101.750000,0.187885,0.046545,0.099878
101.800003,0.194970,0.046658,0.099885
101.850006,0.202239,0.046942,0.099875
101.900002,0.208977,0.047156,0.099885
101.950005,0.215772,0.047462,0.099886
102.000000,0.222657,0.047932,0.099890
102.050003,0.229794,0.048512,0.099866
102.100006,0.236853,0.049180,0.099880
102.150002,0.243418,0.049684,0.099866
102.200005,0.250043,0.050306,0.099870
102.250000,0.256653,0.050987,0.099884
102.300003,0.263275,0.051690,0.099887
102.350006,0.270381,0.052773,0.099867
102.400002,0.277532,0.054061,0.099889
102.450005,0.284766,0.055680,0.099878
102.500000,0.291658,0.057214,0.099879
102.550003,0.298370,0.058664,0.099897
102.600006,0.305071,0.060316,0.099884
102.650002,0.311939,0.062173,0.099880
102.700005,0.318698,0.064030,0.099874
102.750000,0.325447,0.065947,0.099881
102.800003,0.332256,0.068078,0.099884
102.850006,0.338975,0.070291,0.099882
102.900002,0.345493,0.072445,0.099887
102.950005,0.352032,0.074745,0.099876
103.000000,0.358540,0.077111,0.099878
103.050003,0.364721,0.079286,0.099883
103.100006,0.370873,0.081512,0.099884
103.150002,0.377157,0.083959,0.099885
103.200005,0.383477,0.086486,0.099882
103.250000,0.389811,0.089091,0.099875
103.300003,0.396059,0.091692,0.099887
103.350006,0.402186,0.094257,0.099888
103.400002,0.408380,0.096933,0.099873
103.450005,0.414502,0.099657,0.099878
103.500000,0.420555,0.102401,0.099876
103.550003,0.426668,0.105270,0.099879
103.600006,0.432700,0.108152,0.099882
103.650002,0.438713,0.111130,0.099883
103.700005,0.444679,0.114157,0.099888
103.750000,0.450552,0.117127,0.099883
103.800003,0.456478,0.120224,0.099877
103.850006,0.462372,0.123392,0.099874
103.900002,0.468176,0.126547,0.099877
103.950005,0.474012,0.129849,0.099888
104.000000,0.479804,0.133140,0.099873
104.050003,0.485581,0.136502,0.099859
104.100006,0.491110,0.139633,0.099882
104.150002,0.496556,0.142668,0.099884
104.200005,0.502386,0.145996,0.099894
104.250000,0.508618,0.149936,0.099886
104.300003,0.514624,0.153645,0.099893
104.350006,0.520988,0.158070,0.099882
104.400002,0.527172,0.162371,0.099886
104.450005,0.533232,0.166650,0.099892
104.500000,0.538976,0.170649,0.099881
104.550003,0.545017,0.175137,0.099883
104.600006,0.550975,0.179712,0.099894
104.650002,0.556868,0.184378,0.099889
104.700005,0.562608,0.189116,0.099888
104.750000,0.568059,0.193537,0.099896
104.800003,0.573738,0.198565,0.099873
104.850006,0.579211,0.203299,0.099875
104.900002,0.584562,0.208014,0.099893
104.950005,0.590053,0.213225,0.099886
105.000000,0.595306,0.218506,0.099873
105.050003,0.600513,0.223535,0.099891
105.100006,0.605535,0.228518,0.099892
105.150002,0.610453,0.233620,0.099881
105.200005,0.615446,0.239076,0.099877
105.250000,0.620253,0.244361,0.099882
105.300003,0.624993,0.249977,0.099877
105.350006,0.629752,0.255739,0.099863
105.400002,0.634488,0.261365,0.099890
105.450005,0.639171,0.267321,0.099874
105.500000,0.643850,0.273152,0.099875
105.550003,0.648148,0.278624,0.099871
105.600006,0.652522,0.284379,0.099888
105.650002,0.656697,0.289842,0.099878
105.700005,0.660798,0.295199,0.099883
105.750000,0.665037,0.301179,0.099891
105.800003,0.669169,0.307291,0.099873
105.850006,0.673088,0.313300,0.099873
105.900002,0.676861,0.318690,0.099879
105.950005,0.680642,0.324341,0.099879
106.000000,0.684333,0.329947,0.099879
106.050003,0.688091,0.336181,0.099893
106.100006,0.691707,0.342704,0.099887
106.150002,0.695312,0.349073,0.099883
106.200005,0.698888,0.355405,0.099877
106.250000,0.702367,0.361966,0.099890
106.300003,0.705777,0.368663,0.099889
106.350006,0.709071,0.375339,0.099878
106.400002,0.712230,0.381959,0.099876
